year,resid,age,gender,race,educ1,urban,region,income,union,religion,martial_status,occup2,partyid7,str_partyid,dlikes,rlikes,presvote_2party,ideo7,perfin1
1992,236,29,1,1,3,1,3,3,2,4,2,3,3,2,2,-3, ,4,1
1992,237,39,2,1,4,2,3,4,2,1,1,2,7,4,0,0,2,5,1
1992,238,37,2,1,4,1,4,4,1,1,1,1,2,3,3,-3,1,4,1
1992,239,28,2,2,3,1,1,3,2,2,1,2,2,3,1,-3, ,4,1
1992,240,35,2,1,4,3,3,5,2,1,1,2,7,4,-1,0, ,4,1
1992,241,49,1,1,4,2,1, ,2,2,1,1,4,1,-4,4,2,5,3
1992,243,23,2,1,4,3,2,3,2,4,1,2,1,4,1,-5,1,2,1
1992,244,77,1,1,2,3,3, ,2,1,2,2,1,4,0,0, ,6,2
1992,245,63,1,1,2,3,2, ,2,1,5,3,4,1,0,0, ,4,2
1992,246,68,2,1,2,2,3,1,2,1,5,3,5,2,-1,1, , ,2
1992,247,35,2,1,4,2,1,5,2,4,1,1,4,1,2,-2,1,3,1
1992,248,63,1,1,2,2,2, ,1,1,1,2,2,3,0,0, , ,2
1992,249,48,1,1,1,2,2,4,1,1,1,4, ,1,0,0,1,6,2
1992,250,81,1,1,1,2,2,1,1,1,2,3,2,3,0,0,2,4,1
1992,251,23,2,2,3,1,3,3,1,4,7,2,3,2,3,-3,1,4,3
1992,252,88,2,1,2,2,1,2,2,3,5,2,1,4,0,-2,1,4,2
1992,253,46,2,1,2,2,3,4,2,1,1,3,7,4,-1,2, ,5,2
1992,254,39,1,1,3,3,3,1,2,1,3,5,5,2,-2,0, ,5,3
1992,255,31,1,3,4,2,3,4,2,4,1,1,7,4,0,3,2,5,2
1992,256,54,2,1,4,2,3,4,2,2,1,1,6,3,-5,2, ,3,1
1992,257,39,1,1,4,1,2,4,2,1,1,1,5,2,1,-1, ,5,1
1992,258,71,2,1,3,1,3,3,2,2,5,2,5,2,-4,4,2,3,1
1992,259,73,2,1,3,2,2,2,1,1,1,2,6,3,-2,-4,2,6,3
1992,260,19,1,1,3,2,2,4,2,4,2,3,6,3,1,-1,1,5,2
1992,261,39,1,5,2,1,4,3,1,2,1,3,3,2,3,-3,1,2,3
1992,263,65,2,1,4,3,1,3,2,2,1,1,2,3,2,-3,1,2,3
1992,264,81,1,1,1,3,1,3,2,4,2,3,4,1,0,-3, ,6,3
1992,265,37,2,1,3,3,1, ,1,1,1,1,1,4,3,-3,1,2,2
1992,266,35,2,1,4,3,1,5,2,1,1,1,7,4,-2,2,2,4,2
1992,267,65,1,1,1,3,1,2,2,1,1,3,2,3,2,-2,1,5,3
1992,268,68,1,1,4,2,1,3,2,2,1,1,6,3,0,1, ,5,3
1992,269,35,1,1,2,3,2,3,2,2,1,2,7,4,-2,2, ,6,3
1992,270,62,2,5,1,2,3,1,2,1,2,3,4,1,0,0,1, ,2
1992,271,43,2,2,2,2,3,2,2,1,3,3,1,4,2,-1,1, ,3
1992,272,61,2,5,2,2,4,3,2,2,3,3,3,2,1,-2, ,6,2
1992,273,52,1,1,3,1,4,4,1,1,3,3,2,3,0,-3, ,4,2
1992,274,32,1,1,3,1,4,4,1,4,1,3,4,1,-2,-2, ,3,1
1992,275,21,2,4,2,1,4,3,2,1,4,2,3,2,1,0,2,6,3
1992,276,51,2,1,3,1,4,2,2,1,3,1,3,2,2,-3,1,2,3
1992,277,26,2,5,2,1,4,2,2,4,2,6,2,3,0,0,2, ,1
