S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed,unit price bin,Tenure 2
501,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1330000,1227,Strata,11 to 15,1084,4/1/2014,1000-1499,<105
502,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,1200000,883,Strata,01 to 05,1360,4/1/2014,1000-1499,>900 / Freehold
504,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,968000,732,Strata,01 to 05,1322,4/1/2014,1000-1499,>900 / Freehold
505,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1083000,893,Strata,06 to 10,1212,4/1/2014,1000-1499,<105
510,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,765000,474,Strata,06 to 10,1615,4/1/2014,1500-1999,<105
512,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,1270000,893,Strata,11 to 15,1422,4/1/2014,1000-1499,<105
513,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1333000,1216,Strata,16 to 20,1096,4/1/2014,1000-1499,<105
517,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,976440,1033,Strata,11 to 15,945,4/1/2014,500-999,<105
524,EVERGREEN PARK,HOUGANG AVENUE 7,Apartment,19,OCR,99 yrs lease commencing from 1995,1,910000,1066,Strata,11 to 15,854,4/1/2014,500-999,<105
525,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1080000,904,Strata,01 to 05,1194,4/1/2014,1000-1499,<105
526,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,845250,732,Strata,01 to 05,1155,4/1/2014,1000-1499,<105
527,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1033000,829,Strata,11 to 15,1246,4/1/2014,1000-1499,<105
530,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,4/1/2014,1000-1499,>900 / Freehold
533,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1008000,829,Strata,11 to 15,1216,4/1/2014,1000-1499,<105
538,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1687000,1044,Strata,11 to 15,1616,4/1/2014,1500-1999,>900 / Freehold
545,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,936008,689,Strata,06 to 10,1359,4/1/2014,1000-1499,<105
546,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1285500,1130,Strata,06 to 10,1137,4/1/2014,1000-1499,<105
548,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,652540,646,Strata,01 to 05,1010,4/1/2014,1000-1499,<105
549,SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 yrs lease commencing from 2000,1,1208000,1044,Strata,01 to 05,1157,4/1/2014,1000-1499,<105
550,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,909750,732,Strata,11 to 15,1243,4/1/2014,1000-1499,<105
551,RESIDENTIAL APARTMENTS,HOUGANG AVENUE 2,Apartment,19,OCR,99 yrs lease commencing from 1988,1,820000,1625,Strata,01 to 05,505,4/1/2014,500-999,<105
554,CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 yrs lease commencing from 2011,1,699000,420,Strata,01 to 05,1665,4/1/2014,1500-1999,<105
558,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,877000,732,Strata,01 to 05,1198,4/1/2014,1000-1499,<105
559,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1349000,2121,Strata,16 to 20,636,3/1/2014,500-999,<105
561,KOVAN GRANDEUR,TAMPINES ROAD,Apartment,19,OCR,99 yrs lease commencing from 2010,1,680000,570,Strata,01 to 05,1192,3/1/2014,1000-1499,<105
562,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1125000,1001,Strata,06 to 10,1124,3/1/2014,1000-1499,<105
563,GLASGOW RESIDENCE,GLASGOW ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,1,595000,420,Strata,01 to 05,1417,3/1/2014,1000-1499,>900 / Freehold
567,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,687750,495,Strata,06 to 10,1389,3/1/2014,1000-1499,<105
568,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,704250,495,Strata,11 to 15,1422,3/1/2014,1000-1499,<105
570,CASA ROSA,LORONG ONG LYE,Condominium,19,OCR,99 yrs lease commencing from 1998,1,1060000,1130,Strata,01 to 05,938,3/1/2014,500-999,<105
571,HOUGANG GREEN,BUANGKOK GREEN,Apartment,19,OCR,99 yrs lease commencing from 1994,1,790000,1141,Strata,06 to 10,692,3/1/2014,500-999,<105
573,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1120000,904,Strata,06 to 10,1239,3/1/2014,1000-1499,<105
578,SUITES @ PAYA LEBAR,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,938000,1249,Strata,01 to 05,751,3/1/2014,500-999,>900 / Freehold
579,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1130800,990,Strata,01 to 05,1142,3/1/2014,1000-1499,<105
580,MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2013,1,916228,689,Strata,06 to 10,1330,3/1/2014,1000-1499,<105
581,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,671500,441,Strata,01 to 05,1522,3/1/2014,1500-1999,>900 / Freehold
582,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1200000,1152,Strata,01 to 05,1042,3/1/2014,1000-1499,<105
583,CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 yrs lease commencing from 2011,1,635000,420,Strata,01 to 05,1513,3/1/2014,1500-1999,<105
584,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,965380,1033,Strata,06 to 10,934,3/1/2014,500-999,<105
586,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,865000,635,Strata,01 to 05,1362,3/1/2014,1000-1499,>900 / Freehold
587,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 yrs lease commencing from 2011,1,958000,1163,Strata,01 to 05,824,3/1/2014,500-999,<105
588,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1041936,893,Strata,11 to 15,1166,3/1/2014,1000-1499,<105
592,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,833000,936,Strata,01 to 05,890,3/1/2014,500-999,<105
594,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,860250,721,Strata,01 to 05,1193,3/1/2014,1000-1499,<105
595,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1267200,1270,Strata,01 to 05,998,3/1/2014,500-999,<105
596,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1295250,1141,Strata,06 to 10,1135,3/1/2014,1000-1499,<105
597,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1681500,1389,Strata,11 to 15,1211,3/1/2014,1000-1499,<105
598,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,1280000,904,Strata,11 to 15,1416,3/1/2014,1000-1499,<105
600,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,755000,624,Strata,01 to 05,1209,3/1/2014,1000-1499,>900 / Freehold
604,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1041700,840,Strata,11 to 15,1241,3/1/2014,1000-1499,<105
607,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,1,870000,1152,Strata,01 to 05,755,3/1/2014,500-999,<105
608,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,835000,936,Strata,01 to 05,892,3/1/2014,500-999,<105
611,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,798690,850,Strata,06 to 10,939,3/1/2014,500-999,<105
612,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,782100,850,Strata,01 to 05,920,3/1/2014,500-999,<105
613,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,924000,732,Strata,11 to 15,1262,3/1/2014,1000-1499,<105
615,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1621500,1335,Strata,11 to 15,1215,3/1/2014,1000-1499,<105
616,THE YARDLEY,UPPER SERANGOON ROAD,Apartment,19,OCR,Freehold,1,1600800,1281,Strata,01 to 05,1250,3/1/2014,1000-1499,>900 / Freehold
620,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,666000,441,Strata,01 to 05,1509,3/1/2014,1500-1999,>900 / Freehold
622,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1100000,1249,Strata,11 to 15,881,3/1/2014,500-999,<105
626,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,910000,1206,Strata,06 to 10,755,3/1/2014,500-999,<105
628,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,927000,721,Strata,11 to 15,1285,3/1/2014,1000-1499,<105
629,3@SANDILANDS,SANDILANDS ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,1,652000,474,Strata,01 to 05,1377,3/1/2014,1000-1499,>900 / Freehold
630,PRIMO RESIDENCES,JALAN PELIKAT,Apartment,19,OCR,Freehold,1,668000,538,Strata,01 to 05,1241,3/1/2014,1000-1499,>900 / Freehold
633,BLISS@KOVAN,SIMON LANE,Condominium,19,OCR,Freehold,1,2383500,2357,Strata,01 to 05,1011,3/1/2014,1000-1499,>900 / Freehold
634,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1040000,840,Strata,11 to 15,1239,3/1/2014,1000-1499,<105
635,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,1050000,1012,Strata,01 to 05,1038,3/1/2014,1000-1499,>900 / Freehold
637,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,715000,452,Strata,01 to 05,1582,3/1/2014,1500-1999,>900 / Freehold
640,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,930000,1141,Strata,11 to 15,815,3/1/2014,500-999,<105
641,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1420500,1141,Strata,16 to 20,1245,3/1/2014,1000-1499,<105
645,CHERRYHILL,LORONG LEW LIAN,Condominium,19,OCR,Freehold,1,1460000,1453,Strata,01 to 05,1005,3/1/2014,1000-1499,>900 / Freehold
646,SUNGLADE,SERANGOON AVENUE 2,Condominium,19,OCR,99 yrs lease commencing from 2000,1,1250000,1109,Strata,01 to 05,1127,3/1/2014,1000-1499,<105
647,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1026000,915,Strata,01 to 05,1121,3/1/2014,1000-1499,<105
650,SPACE @ KOVAN,YIO CHU KANG ROAD,Apartment,19,OCR,Freehold,1,635000,420,Strata,01 to 05,1513,3/1/2014,1500-1999,>900 / Freehold
655,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1035000,893,Strata,01 to 05,1158,3/1/2014,1000-1499,<105
656,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,688500,484,Strata,11 to 15,1421,3/1/2014,1000-1499,<105
658,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,907500,721,Strata,06 to 10,1258,3/1/2014,1000-1499,<105
659,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,720000,452,Strata,01 to 05,1593,3/1/2014,1500-1999,>900 / Freehold
660,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1051500,872,Strata,11 to 15,1206,3/1/2014,1000-1499,<105
663,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1050750,872,Strata,11 to 15,1205,3/1/2014,1000-1499,<105
664,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,809888,614,Strata,01 to 05,1320,3/1/2014,1000-1499,>900 / Freehold
665,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,873000,732,Strata,01 to 05,1193,3/1/2014,1000-1499,<105
667,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,841350,850,Strata,11 to 15,989,3/1/2014,500-999,<105
668,KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2004,1,1650000,1410,Strata,11 to 15,1170,3/1/2014,1000-1499,<105
669,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1060000,1238,Strata,01 to 05,856,3/1/2014,500-999,<105
670,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,611460,517,Strata,11 to 15,1183,3/1/2014,1000-1499,<105
672,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,900000,1141,Strata,06 to 10,789,3/1/2014,500-999,<105
673,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,815000,614,Strata,01 to 05,1328,3/1/2014,1000-1499,>900 / Freehold
674,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,832413,614,Strata,01 to 05,1357,3/1/2014,1000-1499,>900 / Freehold
675,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,999062,732,Strata,01 to 05,1365,3/1/2014,1000-1499,>900 / Freehold
676,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,851250,732,Strata,01 to 05,1163,3/1/2014,1000-1499,<105
677,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1046000,893,Strata,06 to 10,1171,3/1/2014,1000-1499,<105
679,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1220000,1679,Strata,01 to 05,727,3/1/2014,500-999,<105
680,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1056000,893,Strata,11 to 15,1182,3/1/2014,1000-1499,<105
683,OASIS GARDEN,JALAN BUNGA RAMPAI,Condominium,19,RCR,Freehold,1,1480000,1335,Strata,06 to 10,1109,3/1/2014,1000-1499,>900 / Freehold
684,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1044000,893,Strata,06 to 10,1169,3/1/2014,1000-1499,<105
685,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,1123000,936,Strata,01 to 05,1199,3/1/2014,1000-1499,>900 / Freehold
686,HOUGANG GREEN,BUANGKOK GREEN,Apartment,19,OCR,99 yrs lease commencing from 1994,1,850000,1141,Strata,11 to 15,745,3/1/2014,500-999,<105
687,SUMMER SCENT,KANG CHOO BIN ROAD,Apartment,19,OCR,999 yrs lease commencing from 1883,1,1650000,1711,Strata,01 to 05,964,3/1/2014,500-999,>900 / Freehold
688,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,958000,732,Strata,01 to 05,1309,3/1/2014,1000-1499,>900 / Freehold
689,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,1,861870,603,Strata,01 to 05,1430,3/1/2014,1000-1499,>900 / Freehold
690,HOUGANG GREEN,BUANGKOK GREEN,Apartment,19,OCR,99 yrs lease commencing from 1994,1,858000,1141,Strata,11 to 15,752,3/1/2014,500-999,<105
691,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1131800,990,Strata,01 to 05,1143,3/1/2014,1000-1499,<105
692,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,961430,1033,Strata,06 to 10,930,3/1/2014,500-999,<105
693,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,882100,753,Strata,01 to 05,1171,3/1/2014,1000-1499,<105
694,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1058200,893,Strata,11 to 15,1184,3/1/2014,1000-1499,<105
697,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,888000,732,Strata,11 to 15,1213,3/1/2014,1000-1499,<105
698,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1045000,840,Strata,11 to 15,1245,3/1/2014,1000-1499,<105
700,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,1,1580000,1335,Strata,01 to 05,1184,3/1/2014,1000-1499,<105
703,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,1832112,1378,Strata,01 to 05,1330,3/1/2014,1000-1499,>900 / Freehold
705,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1113000,1001,Strata,01 to 05,1112,3/1/2014,1000-1499,<105
706,PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,Condominium,19,OCR,999 yrs lease commencing from 1878,1,1600000,1701,Strata,01 to 05,941,3/1/2014,500-999,>900 / Freehold
707,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,865000,732,Strata,01 to 05,1182,3/1/2014,1000-1499,<105
708,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,832413,614,Strata,01 to 05,1357,3/1/2014,1000-1499,>900 / Freehold
709,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,3/1/2014,1000-1499,>900 / Freehold
710,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,661500,441,Strata,01 to 05,1499,3/1/2014,1000-1499,>900 / Freehold
711,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,830871,614,Strata,01 to 05,1354,3/1/2014,1000-1499,>900 / Freehold
712,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,1,1000000,1335,Strata,11 to 15,749,3/1/2014,500-999,<105
715,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,794112,474,Strata,11 to 15,1677,3/1/2014,1500-1999,>900 / Freehold
716,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1308750,1130,Strata,06 to 10,1158,3/1/2014,1000-1499,<105
717,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,890250,732,Strata,06 to 10,1216,3/1/2014,1000-1499,<105
718,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,3/1/2014,1000-1499,>900 / Freehold
719,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1350000,1636,Strata,01 to 05,825,3/1/2014,500-999,<105
723,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,888800,732,Strata,11 to 15,1214,3/1/2014,1000-1499,<105
730,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,2010112,1356,Strata,16 to 20,1482,3/1/2014,1000-1499,>900 / Freehold
731,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,1,835800,980,Strata,11 to 15,853,3/1/2014,500-999,<105
736,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,3/1/2014,1000-1499,>900 / Freehold
739,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,925000,1206,Strata,06 to 10,767,2/1/2014,500-999,<105
740,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,814000,614,Strata,01 to 05,1327,2/1/2014,1000-1499,>900 / Freehold
741,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,2/1/2014,1000-1499,>900 / Freehold
742,PRESTIGE POINT,UPPER PAYA LEBAR ROAD,Apartment,19,OCR,Freehold,1,1184000,1184,Strata,01 to 05,1000,2/1/2014,1000-1499,>900 / Freehold
743,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1215000,1195,Strata,01 to 05,1017,2/1/2014,1000-1499,<105
744,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,960000,732,Strata,01 to 05,1312,2/1/2014,1000-1499,>900 / Freehold
746,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,930000,1216,Strata,06 to 10,765,2/1/2014,500-999,<105
747,REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 yrs lease commencing from 1996,1,910000,1152,Strata,11 to 15,790,2/1/2014,500-999,<105
748,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,832068,614,Strata,01 to 05,1356,2/1/2014,1000-1499,>900 / Freehold
749,GLASGOW RESIDENCE,GLASGOW ROAD,Apartment,19,OCR,999 yrs lease commencing from 1886,1,650000,431,Strata,01 to 05,1510,2/1/2014,1500-1999,>900 / Freehold
750,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,818000,614,Strata,01 to 05,1333,2/1/2014,1000-1499,>900 / Freehold
751,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,971700,1033,Strata,06 to 10,940,2/1/2014,500-999,<105
752,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1128888,1001,Strata,01 to 05,1128,2/1/2014,1000-1499,<105
753,PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 yrs lease commencing from 2010,1,820000,786,Strata,01 to 05,1044,2/1/2014,1000-1499,<105
755,KOVAN 81,KOVAN ROAD,Apartment,19,OCR,999 yrs lease commencing from 1878,1,1035000,1076,Strata,01 to 05,962,2/1/2014,500-999,>900 / Freehold
756,THE SCALA,SERANGOON AVENUE 3,Apartment,19,OCR,99 yrs lease commencing from 2010,1,800000,474,Strata,06 to 10,1689,2/1/2014,1500-1999,<105
758,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,832859,614,Strata,01 to 05,1357,2/1/2014,1000-1499,>900 / Freehold
761,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,877000,732,Strata,06 to 10,1198,2/1/2014,1000-1499,<105
762,KENSINGTON SQUARE,JALAN LOKAM,Apartment,19,OCR,Freehold,1,808000,710,Strata,01 to 05,1137,2/1/2014,1000-1499,>900 / Freehold
763,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,795000,850,Strata,01 to 05,935,2/1/2014,500-999,<105
768,CAMBIO SUITES,LIM TUA TOW ROAD,Apartment,19,OCR,Freehold,1,988000,797,Strata,01 to 05,1240,2/1/2014,1000-1499,>900 / Freehold
769,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1025000,829,Strata,06 to 10,1237,2/1/2014,1000-1499,<105
770,THE SPRINGBLOOM,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1995,1,1500000,1302,Strata,06 to 10,1152,2/1/2014,1000-1499,<105
771,KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 yrs lease commencing from 2007,1,1150000,883,Strata,01 to 05,1303,2/1/2014,1000-1499,<105
772,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,890000,732,Strata,11 to 15,1216,2/1/2014,1000-1499,<105
774,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1210000,1281,Strata,01 to 05,945,2/1/2014,500-999,<105
775,THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,Freehold,1,1200000,883,Strata,01 to 05,1360,2/1/2014,1000-1499,>900 / Freehold
776,RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 yrs lease commencing from 1997,1,915000,1195,Strata,01 to 05,766,2/1/2014,500-999,<105
777,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,2273112,1367,Strata,06 to 10,1663,2/1/2014,1500-1999,>900 / Freehold
778,THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,Freehold,1,800112,484,Strata,11 to 15,1652,2/1/2014,1500-1999,>900 / Freehold
779,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2012,1,1056750,872,Strata,11 to 15,1212,2/1/2014,1000-1499,<105
780,RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 yrs lease commencing from 2011,1,1085460,1109,Strata,16 to 20,979,2/1/2014,500-999,<105
784,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,1,1860000,2454,Strata,16 to 20,758,2/1/2014,500-999,<105
