S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area,Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
633,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1766280,861,Strata,06 to 10,2051,13-Sep
634,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1742500,861,Strata,01 to 05,2024,13-Sep
635,SOMMERVILLE GRANDEUR,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3250000,1830,Strata,01 to 05,1776,13-Sep
636,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,942180,452,Strata,06 to 10,2084,13-Sep
637,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1428440,689,Strata,06 to 10,2074,13-Sep
638,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2557490,1324,Strata,06 to 10,1932,13-Sep
639,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,2128700,1141,Strata,06 to 10,1866,13-Sep
640,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1302160,614,Strata,06 to 10,2122,13-Sep
641,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1137770,549,Strata,01 to 05,2073,13-Sep
642,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1235620,549,Strata,06 to 10,2251,13-Sep
643,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,999 yrs lease commencing from 1995,1,6800000,2756,Strata,11 to 15,2468,13-Sep
644,RIDGEWOOD,RIDGEWOOD CLOSE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1600000,1399,Strata,01 to 05,1143,13-Sep
645,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,871660,420,Strata,06 to 10,2076,13-Sep
646,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1726920,850,Strata,06 to 10,2031,13-Sep
647,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,868380,420,Strata,06 to 10,2069,13-Sep
648,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1685100,861,Strata,01 to 05,1957,13-Sep
649,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,856080,420,Strata,01 to 05,2039,13-Sep
650,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1361000,614,Strata,01 to 05,2218,13-Sep
651,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1550000,829,Strata,01 to 05,1870,13-Sep
652,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1230470,549,Strata,06 to 10,2241,13-Sep
653,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4047228,2110,Strata,06 to 10,1918,13-Sep
654,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1750000,861,Strata,06 to 10,2032,13-Sep
655,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1731020,861,Strata,01 to 05,2010,13-Sep
656,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1358740,678,Strata,01 to 05,2004,13-Sep
657,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1405480,689,Strata,01 to 05,2040,13-Sep
658,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,5238000,1690,Strata,01 to 05,3100,13-Sep
659,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1753900,861,Strata,01 to 05,2037,13-Sep
660,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,3200000,2056,Strata,01 to 05,1556,13-Sep
661,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3780000,1991,Strata,06 to 10,1898,13-Sep
662,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2484290,1507,Strata,31 to 35,1649,13-Sep
663,BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2398000,1335,Strata,01 to 05,1797,13-Sep
664,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1411500,689,Strata,01 to 05,2049,13-Sep
665,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1403020,689,Strata,01 to 05,2037,13-Sep
666,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,833120,420,Strata,01 to 05,1985,13-Sep
667,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1438280,689,Strata,06 to 10,2088,13-Sep
668,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,862640,420,Strata,01 to 05,2055,13-Sep
669,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,4380000,2885,Strata,11 to 15,1518,13-Sep
670,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1754800,861,Strata,01 to 05,2038,13-Sep
671,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2310760,1216,Strata,06 to 10,1900,13-Sep
672,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2449700,1496,Strata,31 to 35,1637,13-Sep
673,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,868380,420,Strata,06 to 10,2069,13-Sep
674,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1755000,1109,Strata,01 to 05,1583,13-Sep
675,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2853000,1561,Strata,01 to 05,1828,13-Sep
676,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1200000,990,Strata,01 to 05,1212,13-Sep
677,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,1307310,614,Strata,06 to 10,2131,13-Sep
678,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,2800000,2002,Strata,16 to 20,1399,13-Sep
679,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,4131550,1658,Strata,06 to 10,2492,13-Sep
680,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,898720,431,Strata,06 to 10,2087,13-Sep
681,HOLLAND PEAK,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3650000,2551,Strata,01 to 05,1431,13-Sep
682,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1719540,861,Strata,01 to 05,1997,13-Sep
683,PROXIMO,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1800000,1119,Strata,06 to 10,1608,13-Sep
684,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,6420000,2605,Strata,01 to 05,2465,13-Sep
685,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,2100000,1259,Strata,06 to 10,1667,13-Sep
686,REGENCY PARK,NATHAN ROAD,Condominium,10,CCR,Freehold,1,6900000,3649,Strata,21 to 25,1891,13-Sep
687,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2647000,1582,Strata,01 to 05,1673,13-Sep
688,RESIDENTIAL APARTMENTS,NASSIM HILL,Apartment,10,CCR,Freehold,1,8027000,3229,Strata,01 to 05,2486,13-Sep
689,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,851160,420,Strata,01 to 05,2028,13-Sep
690,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,8000000,2842,Strata,01 to 05,2815,13-Sep
691,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,885800,431,Strata,01 to 05,2057,13-Sep
692,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3955000,1905,Strata,01 to 05,2076,13-Sep
693,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2470610,1593,Strata,26 to 30,1551,13-Sep
694,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1424340,689,Strata,06 to 10,2068,13-Sep
695,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3922000,1905,Strata,01 to 05,2059,13-Sep
696,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1766280,861,Strata,06 to 10,2051,13-Sep
697,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,2025918,850,Strata,01 to 05,2382,13-Sep
698,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2050000,1216,Strata,06 to 10,1685,13-Sep
699,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,2665000,840,Strata,01 to 05,3174,13-Sep
700,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2050000,1066,Strata,01 to 05,1924,13-Sep
701,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2174040,1281,Strata,26 to 30,1697,13-Sep
702,JERVOIS GROVE,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1900000,1410,Strata,01 to 05,1347,13-Sep
703,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,4782000,1594,Strata,01 to 05,3000,13-Sep
704,WATERFALL GARDENS,FARRER ROAD,Condominium,10,CCR,Freehold,1,2950000,1830,Strata,01 to 05,1612,13-Sep
705,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1383340,678,Strata,06 to 10,2040,13-Sep
706,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,6114000,1787,Strata,01 to 05,3422,13-Sep
707,VOLARI,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3000000,1324,Strata,01 to 05,2266,13-Sep
708,HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,Freehold,1,1870000,980,Strata,01 to 05,1909,13-Aug
709,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3765249,2110,Strata,01 to 05,1785,13-Aug
710,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,2024200,904,Strata,01 to 05,2239,13-Aug
711,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1327000,614,Strata,01 to 05,2163,13-Aug
712,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3200000,1485,Strata,11 to 15,2154,13-Aug
713,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3664220,1787,Strata,01 to 05,2051,13-Aug
714,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,2379440,1184,Strata,01 to 05,2010,13-Aug
715,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3136000,1701,Strata,01 to 05,1844,13-Aug
716,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,4680000,1594,Strata,01 to 05,2936,13-Aug
717,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1250000,797,Strata,01 to 05,1569,13-Aug
718,CLUNY PARK RESIDENCE,CLUNY PARK ROAD,Condominium,10,CCR,Freehold,1,6088000,2347,Strata,01 to 05,2594,13-Aug
719,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3856740,2110,Strata,06 to 10,1828,13-Aug
720,CUSCADEN ROYALE,CUSCADEN WALK,Apartment,10,CCR,Freehold,1,2150000,1001,Strata,11 to 15,2148,13-Aug
721,ONE JERVOIS,JERVOIS CLOSE,Condominium,10,CCR,Freehold,1,1260000,635,Strata,01 to 05,1984,13-Aug
722,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,5670000,2260,Strata,01 to 05,2508,13-Aug
723,KELLOCK LODGE,KELLOCK ROAD,Apartment,10,CCR,Freehold,1,1348000,893,Strata,06 to 10,1509,13-Aug
724,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4562298,2110,Strata,06 to 10,2162,13-Aug
725,SPANISH VILLAGE,FARRER ROAD,Condominium,10,CCR,Freehold,1,1000000,700,Strata,01 to 05,1429,13-Aug
726,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3507960,2217,Strata,01 to 05,1582,13-Aug
727,THE TESSARINA,WILBY ROAD,Condominium,10,CCR,Freehold,1,2140000,1324,Strata,06 to 10,1616,13-Aug
728,FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,Condominium,10,CCR,Freehold,1,2590000,1615,Strata,01 to 05,1604,13-Aug
729,THE SERENADE @ HOLLAND,HOLLAND ROAD,Condominium,10,CCR,99 yrs lease commencing from 2001,1,2323000,1787,Strata,16 to 20,1300,13-Aug
730,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3557400,1421,Strata,06 to 10,2504,13-Aug
731,SIXTH AVENUE VILLE,SIXTH AVENUE,Condominium,10,CCR,Freehold,1,1910000,1238,Strata,01 to 05,1543,13-Aug
732,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1281780,635,Strata,26 to 30,2018,13-Aug
733,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,1422000,614,Strata,01 to 05,2318,13-Aug
734,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2900000,1496,Strata,01 to 05,1938,13-Aug
735,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,7000000,3800,Strata,01 to 05,1842,13-Aug
736,CONDOMINIUM DEVELOPMENT,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,1495000,980,Strata,06 to 10,1526,13-Aug
737,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2417400,1399,Strata,31 to 35,1728,13-Aug
738,HOLLAND PEAK,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1800000,1313,Strata,01 to 05,1371,13-Aug
739,SIGNATURE AT LEWIS,LEWIS ROAD,Apartment,10,CCR,Freehold,1,2800000,1841,Strata,01 to 05,1521,13-Aug
740,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,885000,420,Strata,06 to 10,2108,13-Aug
741,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,2674872,1044,Strata,06 to 10,2562,13-Aug
742,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,2644317,1044,Strata,06 to 10,2533,13-Aug
743,FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,Condominium,10,CCR,Freehold,1,2416000,1496,Strata,01 to 05,1615,13-Aug
744,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2625560,1744,Strata,21 to 25,1506,13-Aug
745,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2051696,1292,Strata,01 to 05,1588,13-Aug
746,CASA JERVOIS,JERVOIS ROAD,Apartment,10,CCR,Freehold,1,1870000,1227,Strata,01 to 05,1524,13-Aug
747,DUCHESS MANOR,DUCHESS ROAD,Condominium,10,CCR,999 yrs lease commencing from 1875,1,1930000,1066,Strata,01 to 05,1811,13-Aug
748,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1380000,807,Strata,06 to 10,1709,13-Aug
749,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,1850000,947,Strata,01 to 05,1953,13-Aug
750,D'LEEDON,LEEDON HEIGHTS,Condominium,10,RCR,99 yrs lease commencing from 2010,1,2361810,1399,Strata,26 to 30,1688,13-Aug
751,WOOLLERTON PARK,WOOLLERTON PARK,Apartment,10,CCR,Freehold,1,4930000,2788,Strata,06 to 10,1768,13-Aug
752,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,985000,710,Strata,01 to 05,1386,13-Aug
753,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,20386050,5909,Strata,06 to 10,3450,13-Jul
754,ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,1,5600000,3143,Strata,01 to 05,1782,13-Jul
755,VOLARI,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,3221000,1324,Strata,11 to 15,2433,13-Jul
756,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,1,2550000,1668,Strata,01 to 05,1528,13-Jul
757,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2410340,1593,Strata,26 to 30,1513,13-Jul
758,THREE THREE ROBIN,ROBIN ROAD,Apartment,10,CCR,Freehold,1,3500000,1711,Strata,01 to 05,2045,13-Jul
759,8 NAPIER,NAPIER ROAD,Condominium,10,CCR,Freehold,1,12368888,4112,Strata,06 to 10,3008,13-Jul
760,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1300000,786,Strata,11 to 15,1654,13-Jul
761,RESIDENTIAL APARTMENTS,NASSIM HILL,Apartment,10,CCR,Freehold,1,10000000,4338,Strata,01 to 05,2305,13-Jul
762,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,2925000,2443,Strata,06 to 10,1197,13-Jul
763,ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Condominium,10,CCR,Freehold,1,3780000,2002,Strata,01 to 05,1888,13-Jul
764,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,3633426,2110,Strata,01 to 05,1722,13-Jul
765,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1870800,797,Strata,01 to 05,2349,13-Jul
766,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2274770,1292,Strata,31 to 35,1761,13-Jul
767,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3350000,1948,Strata,11 to 15,1719,13-Jul
768,VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2536740,1658,Strata,01 to 05,1530,13-Jul
769,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,940000,495,Strata,06 to 10,1898,13-Jul
770,THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1950000,1356,Strata,01 to 05,1438,13-Jul
771,HOLT RESIDENCES,HOLT ROAD,Apartment,10,CCR,Freehold,1,3160000,2056,Strata,06 to 10,1537,13-Jul
772,ONE BALMORAL,BALMORAL ROAD,Condominium,10,CCR,Freehold,1,1541000,592,Strata,01 to 05,2603,13-Jul
773,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1060600,463,Strata,11 to 15,2291,13-Jul
774,RESIDENTIAL APARTMENTS,BALMORAL PARK,Apartment,10,CCR,Freehold,1,3450000,1798,Strata,06 to 10,1919,13-Jul
775,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3390000,2260,Strata,01 to 05,1500,13-Jul
776,SAGE,NASSIM ROAD,Condominium,10,CCR,Freehold,1,16380000,4564,Strata,01 to 05,3589,13-Jul
777,DORMER PARK,JERVOIS ROAD,Condominium,10,CCR,Freehold,1,1800000,1270,Strata,01 to 05,1417,13-Jul
778,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,10600000,4715,Strata,01 to 05,2248,13-Jul
779,DUCHESS RESIDENCES,DUCHESS AVENUE,Condominium,10,CCR,999 yrs lease commencing from 1875,1,3050000,1615,Strata,01 to 05,1889,13-Jul
780,NATHAN RESIDENCES,NATHAN ROAD,Apartment,10,CCR,Freehold,1,1230000,592,Strata,11 to 15,2078,13-Jul
781,BELLERIVE,KENG CHIN ROAD,Apartment,10,CCR,Freehold,1,1720000,1001,Strata,06 to 10,1718,13-Jul
782,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2120000,1302,Strata,06 to 10,1628,13-Jul
783,CASABELLA,DUCHESS AVENUE,Condominium,10,CCR,Freehold,1,2050000,1313,Strata,01 to 05,1561,13-Jul
784,D'LEEDON,LEEDON HEIGHTS,Condominium,10,RCR,99 yrs lease commencing from 2010,1,3252920,2002,Strata,31 to 35,1625,13-Jul
785,RV EDGE,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,870000,420,Strata,01 to 05,2072,13-Jul
786,ARDMORE PARK,ARDMORE PARK,Condominium,10,CCR,Freehold,1,9500000,2885,Strata,26 to 30,3293,13-Jul
787,ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,Freehold,1,1415776,549,Strata,11 to 15,2579,13-Jul
788,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2563170,1561,Strata,26 to 30,1642,13-Jul
789,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,3121335,1701,Strata,06 to 10,1835,13-Jul
790,FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,Freehold,1,11600000,3821,Strata,21 to 25,3036,13-Jul
791,HOLLANDIA,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2400000,1970,Strata,01 to 05,1218,13-Jul
792,THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,Freehold,1,2480000,1475,Strata,16 to 20,1682,13-Jul
793,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,2059205,904,Strata,01 to 05,2277,13-Jul
794,THE GRANGE,GRANGE GARDEN,Condominium,10,CCR,Freehold,1,5750640,2282,Strata,16 to 20,2520,13-Jul
795,EWE BOON REGENT,EWE BOON ROAD,Apartment,10,CCR,Freehold,1,1500000,1044,Strata,01 to 05,1437,13-Jul
796,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1330000,786,Strata,01 to 05,1693,13-Jul
797,THE MERASAGA,JALAN MERAH SAGA,Condominium,10,CCR,99 yrs lease commencing from 1991,1,1577000,958,Strata,06 to 10,1646,13-Jul
798,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,1770000,1012,Strata,06 to 10,1749,13-Jul
799,THE LEVELZ,FARRER ROAD,Condominium,10,CCR,Freehold,1,1330000,786,Strata,11 to 15,1693,13-Jul
800,VERDURE,HOLLAND ROAD,Condominium,10,CCR,Freehold,1,2080000,1066,Strata,01 to 05,1952,13-Jul
801,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,2185000,1528,Strata,06 to 10,1430,13-Jul
802,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4794516,2648,Strata,01 to 05,1811,13-Jul
803,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,3080000,1948,Strata,06 to 10,1581,13-Jul
804,HOLT RESIDENCES,HOLT ROAD,Apartment,10,CCR,Freehold,1,3160000,2056,Strata,06 to 10,1537,13-Jul
805,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2171000,1302,Strata,11 to 15,1667,13-Jul
806,CHARLESTON,SHANGHAI ROAD,Apartment,10,CCR,Freehold,1,1680000,1206,Strata,06 to 10,1394,13-Jul
807,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1699000,753,Strata,01 to 05,2255,13-Jul
808,THE TRIZON,RIDGEWOOD CLOSE,Condominium,10,CCR,Freehold,1,3380000,2110,Strata,11 to 15,1602,13-Jul
809,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2506900,1615,Strata,21 to 25,1553,13-Jul
810,THE LEGEND,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,2180000,1464,Strata,11 to 15,1489,13-Jul
811,PARVIS,HOLLAND HILL,Condominium,10,CCR,Freehold,1,1938000,990,Strata,06 to 10,1957,13-Jul
812,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,2330000,958,Strata,01 to 05,2432,13-Jul
813,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1804787,786,Strata,01 to 05,2297,13-Jul
814,ASTRID MEADOWS,CORONATION ROAD WEST,Condominium,10,CCR,Freehold,1,3500000,1938,Strata,01 to 05,1806,13-Jul
815,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,3100000,1701,Strata,06 to 10,1823,13-Jul
816,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2607170,1744,Strata,21 to 25,1495,13-Jul
817,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,1878840,1076,Strata,21 to 25,1745,13-Jul
818,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,3225700,1485,Strata,06 to 10,2172,13-Jul
819,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1975000,893,Strata,01 to 05,2211,13-Jul
820,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2459300,1561,Strata,26 to 30,1576,13-Jul
821,LIBERTE,SARKIES ROAD,Apartment,10,CCR,Freehold,1,1638057,646,Strata,06 to 10,2536,13-Jul
822,D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 yrs lease commencing from 2010,1,2491520,1593,Strata,21 to 25,1564,13-Jul
823,THE SIENA,TAN KIM CHENG ROAD,Apartment,10,CCR,99 yrs lease commencing from 2013,1,1202940,538,Strata,01 to 05,2235,13-Jul
824,MON JERVOIS,JERVOIS ROAD,Condominium,10,CCR,99 yrs lease commencing from 2012,1,3217000,1496,Strata,01 to 05,2150,13-Jul
